"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"533",605255,"Brett Graves",2018,"533","100.0","0.311","0.152","0.352","0.462","0.365","0.351","0.288","41","132","89.6","7.9","2218","89.2","88.73","59","247","281","-0.5","6.05","109","149","108","148","300","323","299"
"531",532077,"Roberto Osuna",2018,"531","100.0","0.234","0.071","0.294","0.305","0.256","0.315","0.270","33","141","87.1","14.5","2351","91.9","91.26","83","308","218","-0.6","5.99","109","150","112","148","292","319","296"
"528",458924,"Jonny Venters",2018,"528","100.0","0.208","0.072","0.255","0.280","0.257","0.294","0.227","26","125","90.5","-2.9","2133","91.0","88.90","53","216","310","-2.1","5.04","108","151","107","150","294","318","294"
"527",606478,"Pedro Araujo",2018,"527","100.0","0.264","0.318","0.278","0.582","0.405","0.341","0.213","29","110","88.1","16.3","2163","88.5","87.97","78","230","295","-0.5","6.05","112","155","119","148","294","317","296"
"520",501957,"Chris Tillman",2018,"520","100.0","0.365","0.287","0.367","0.652","0.459","0.441","0.341","42","115","91.5","12.0","2125","84.7","84.22","28","220","297","-0.5","5.92","109","152","118","144","295","317","293"
"516",493247,"Peter Moylan",2018,"516","100.0","0.299","0.150","0.350","0.449","0.371","0.346","0.277","32","107","89.7","3.3","2165","84.7","82.85","60","234","278","-1.9","5.30","107","150","104","147","296","313","293"
"515",518858,"Nate Jones",2018,"515","100.0","0.239","0.145","0.293","0.385","0.321","0.354","0.260","28","117","89.0","13.5","2379","94.2","93.20","77","251","261","-1.0","5.72","112","150","111","148","291","309","294"
"515",642008,"Jacob Rhame",2018,"515","100.0","0.295","0.264","0.323","0.558","0.376","0.298","0.226","38","129","87.0","23.5","2486","93.2","91.85","79","277","236","-1.3","5.61","114","152","114","149","295","319","298"
"510",624427,"Stephen Gonsalves",2018,"510","100.0","0.283","0.121","0.321","0.404","0.369","0.412","0.321","28","99","89.5","14.7","2096","86.2","86.96","36","214","295","0.8","6.72","102","152","114","147","301","327","290"
"509",641427,"Alan Busenitz",2018,"509","100.0","0.339","0.284","0.382","0.624","0.440","0.401","0.278","37","109","91.0","14.3","2581","90.8","89.69","61","225","280","-1.1","5.56","110","151","117","148","298","323","291"
